date,dataset_group,dataset_split,protocol,experiment,stage,detector,status,outcome,best_epoch,best_map,best_ap50,final_epoch,final_map,final_ap50,n_replicas,source_file,work_dir,notes
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,20260525_s0_3x_expansion_launch,S0,,completed,archive_only,,,,,,,,docs/experiments/20260525_s0_3x_expansion_launch.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/oriented_rcnn_3x_loadfrom,Expand DOTA v1.5 S0 baselines with longer 3x detector runs without sharing busy GPUs.
2026-05-26,DOTA v1.5,val,"MMRotate DOTAMetric mAP, IoU 0.5",s0_strong_detector_dota15,S0 detector,Oriented R-CNN,diagnostic,not_paper_evidence,33,0.2620,0.2620,36,0.2607,0.2610,,docs/experiments/20260526_oriented_rcnn_3x_dota15_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/oriented_rcnn_3x_loadfrom,Large checkpoints and raw logs remain outside Git.; S0 closed-set detector baseline; no prompt/VLM embeddings used.; Validation uses the corrected resize-before-LoadAnnotations DOTA v1.5 pipeline.
2026-05-26,DOTA v1.5,val,"MMRotate DOTAMetric mAP, IoU 0.5",s0_strong_detector_dota15,S0 detector,ReDet,diagnostic,not_paper_evidence,12,0.2382,0.2380,12,0.2382,0.2380,,docs/experiments/20260526_redet_pretrained_dota15_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/redet_pretrained_rerun,Large checkpoints and raw logs remain outside Git.; S0 closed-set detector baseline; no prompt/VLM embeddings used.; Validation uses the corrected resize-before-LoadAnnotations DOTA v1.5 pipeline.
2026-05-26,DOTA v1.5,val,"MMRotate DOTAMetric mAP, IoU 0.5",s0_strong_detector_dota15,S0 detector,RoI Transformer,diagnostic,not_paper_evidence,34,0.2644,0.2640,36,0.2612,0.2610,,docs/experiments/20260526_roi_transformer_3x_dota15_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_3x,Large checkpoints and raw logs remain outside Git.; S0 closed-set detector baseline; no prompt/VLM embeddings used.; Validation uses the corrected resize-before-LoadAnnotations DOTA v1.5 pipeline.
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260526_dota15_geonexus_s1_archive,S1,,diagnostic,not_paper_evidence,,,,,,,,docs/experiments/20260526_dota15_geonexus_s1_archive.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_3x/epoch_34.pth,# DOTA v1.5 GeoNexus S1 Archive - 2026-05-26
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260526_paper_evidence_dota15_summary,S1,,failed,oom,,,,,,,,docs/experiments/20260526_paper_evidence_dota15_summary.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_3x/epoch_34.pth,# DOTA v1.5 Paper Evidence Summary - 2026-05-26
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,GeoNexus S1 first GPU0 launch,S1,RoI Transformer,failed,oom,,,,,,,,docs/experiments/20260526_paper_evidence_dota15_summary.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1,GPU 0 launch reached training but hit CUDA OOM during RPN target assignment.
2026-05-27,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260527_dota15_geonexus_s2_archive,S2,,completed,archive_only,,,,,,,,docs/experiments/20260527_dota15_geonexus_s2_archive.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_frozen_offsets_12e,# DOTA v1.5 GeoNexus S2 Archive - 2026-05-27
2026-05-28,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260528_s0_opensrd_status_and_protocol_correction,S0,,failed,oom,,,,,,,,docs/experiments/20260528_s0_opensrd_status_and_protocol_correction.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_full_dota15_oriented_rcnn_3x,# Experiment: S0 and OpenRSD Reproduction Status
2026-05-31,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260531_resume_opensrd_dota2_launch,S0,,diagnostic,not_paper_evidence,,,,,,,,docs/experiments/20260531_resume_opensrd_dota2_launch.md,,# 2026-05-31 Resume OpenRSD DOTA2 Launch
2026-05-31,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260531_geonexus_publication_forward_handoff,S0 detector,,failed,oom,,,,,,,,docs/experiments/20260531_geonexus_publication_forward_handoff.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_3x/epoch_34.pth,# GeoNexus-RSD Publication Forward Handoff - 2026-05-31
2026-06-01,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260601_s2_hierarchy_regularizer_12e,S2,,launch_only,active_then_stopped,,,,,,,,docs/experiments/20260601_s2_hierarchy_regularizer_12e.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_frozen_12e,# 2026-06-01 S2 Hierarchy Regularizer 12e
2026-06-01,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260601_s2_hierarchy_regularizer_72e,S2,,completed,archive_only,,,,,,,,docs/experiments/20260601_s2_hierarchy_regularizer_72e.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_frozen_12e/epoch_12.pth,# 2026-06-01 S2 Hierarchy Regularizer 72e
2026-06-01,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S2 hierarchy regularizer 12e,S2,,diagnostic,not_paper_evidence,11,0.3652,0.3650,12,0.3644,0.3640,,docs/experiments/20260601_s2_hierarchy_regularizer_12e_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_frozen_12e,"Validation used the same DOTA v1.5 reduced tiled split and DOTAMetric protocol as the S0/S1 records.; This result is paper-facing evidence for the S2 hierarchy regularizer, subject to repeat/longer-run confirmation.; A 7"
2026-06-01,DOTA v1.5,DOTA v1.5 reduced tiled split/val,"MMRotate DOTAMetric mAP, IoU 0.5",GeoNexus S2 hierarchy regularizer 72e,S2,,completed,positive,56,0.3757,0.3760,72,0.3738,0.3740,,docs/experiments/20260601_s2_hierarchy_regularizer_72e_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_frozen_72e,Validation used the same DOTA v1.5 reduced tiled split and DOTAMetric protocol as the S0/S1/S2 12e records.; The 72e result supersedes the 12e result as the strongest completed S2 hierarchy-regularizer evidence.; No new 
2026-06-02,DOTA v1.5,DOTA v1.5 reduced tiled split/val,"MMRotate DOTAMetric mAP, IoU 0.5",GeoNexus S2 hierarchy regularizer 144e,S2,,completed,positive,30,0.3819,0.3820,144,0.3723,0.3720,,docs/experiments/20260602_s2_hierarchy_regularizer_144e_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_frozen_144e,"S2 144e completed cleanly and produced epoch_144.pth.; The best observed validation occurs much earlier than the final epoch, so use best and final numbers separately in comparisons.; The final epoch underperforms the S2"
2026-06-02,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260602_s3_scene_adapter_72e,S3,,completed,positive,,,,,,,,docs/experiments/20260602_s3_scene_adapter_72e.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_scene_adapter_72e,# 2026-06-02 S3 Scene Adapter 72e
2026-06-02,DOTA v1.5,DOTA v1.5 reduced tiled split/val,"MMRotate DOTAMetric mAP, IoU 0.5",GeoNexus S3 scene adapter 72e,S3,,completed,positive,51,0.3800,0.3800,72,0.3759,0.3760,,docs/experiments/20260602_s3_scene_adapter_72e_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_scene_adapter_72e,S3 72e completed and produced epoch_72.pth.; The final epoch slightly exceeds the S2 72e final record; the best observed S3 72e validation also exceeds the best observed S2 72e validation.; Treat this as completed S3 evi
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_opensrd_dota2_epoch12_ssval,,,completed,positive,,,,,,,,docs/experiments/20260602_opensrd_dota2_epoch12_ssval.md,/data5/2025/ldh/OpenRSD/work_dirs/opensrd_formal_dota2_ssval_eval/a10_formal_dota2_eval_no_star.py,# 2026-06-02 OpenRSD DOTA2 Epoch-12 ss_val Evaluation
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,"DETAILDOTAMetric mAP, IoU 0.5",OpenRSD DOTA2 epoch-12 ss_val evaluation,,,completed,positive,,0.4202,0.4200,,0.4202,0.4200,,docs/experiments/20260602_opensrd_dota2_epoch12_ssval_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/opensrd_dota2_epoch12_ssval_eval_20260602,This is DOTA2 ss_val evidence for the completed OpenRSD DOTA2 epoch-12 checkpoint.; This is not a GeoNexus S2 or S3 result.; Evaluation completed in detached screen opensrd_dota2_epoch12_ssval_eval_20260602_gpu0 on GPU 0
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_gpu_status_2025,S0,,failed,oom,,,,,,,,docs/experiments/20260602_gpu_status_2025.md,,# GPU Status 2026-06-02 20:25 +0800
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_s0_dota2_orcnn_r50_validpng_launch,S0,,completed,positive,,,,,,,,docs/experiments/20260602_s0_dota2_orcnn_r50_validpng_launch.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_orcnn_r50_validpng_20260602/G02_Baselines_Data1_DOTA2_M5_ORCNN_R50_validpng_20260602.py,# 2026-06-02 S0 DOTA2 Oriented R-CNN R50 Valid-PNG Launch
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_s0_dota2_roi_trans_rebuild_failure,S0,,launch_only,active_then_stopped,,,,,,,,docs/experiments/20260602_s0_dota2_roi_trans_rebuild_failure.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_roi_trans_rebuild_20260601,# 2026-06-02 S0 DOTA2 RoI Transformer Rebuild Failure
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_s0_dota2_roi_trans_rebuild_validpng_restart,S0,,completed,positive,,,,,,,,docs/experiments/20260602_s0_dota2_roi_trans_rebuild_validpng_restart.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_roi_trans_rebuild_20260601,# 2026-06-02 S0 DOTA2 RoI Transformer Valid-PNG Restart
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,S0 DOTA2 Oriented R-CNN R50 valid-PNG,S0 detector,Oriented R-CNN,failed,oom,,,,,,,,docs/experiments/20260602_gpu_status_2025.md,,Failed after entering training at epoch 1 iter 300 with CUDA out-of-memory.
2026-06-02,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260602_active_process_snapshot_1625,S3,,completed,archive_only,,,,,,,,docs/experiments/20260602_active_process_snapshot_1625.md,,# 2026-06-02 Active Process Snapshot 16:25
2026-06-03,DOTA v1.5,DOTA v1.5 reduced tiled split/val,"MMRotate DOTAMetric mAP, IoU 0.5",GeoNexus S3 scene adapter 144e,S3,,completed,positive,,,,144,0.3712,0.3710,,docs/experiments/20260603_s3_scene_adapter_144e_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_scene_adapter_144e,S3 144e completed and produced epoch_144.pth.; The final epoch is below the S3 72e final and below the S2 144e final; the best observed S3 144e validation is slightly above the S3 72e best but below the S2 144e best.; Tr
2026-06-03,DOTA2,DOTA2_1024_500/ss_val,,s0_dota2_roi_trans_rebuild_validpng_restart,S0,RoI Transformer,diagnostic,not_paper_evidence,,0.6088,0.6090,,0.6088,0.6090,,docs/experiments/20260603_s0_dota2_roi_trans_validpng_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_roi_trans_rebuild_20260602_validpng_restart,This is S0 DOTA2 ss_val evidence only.; Do not cite as GeoNexus S1/S2/S3/S4 evidence.
2026-06-03,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260603_geonexus_s1_rerun_launch,S1,,completed,positive,,,,,,,,docs/experiments/20260603_geonexus_s1_rerun_launch.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1_rerun_20260603/roi-trans-le90_r50_fpn_remoteclip-s1-rerun-20260603_dota15.py,# 2026-06-03 GeoNexus S1 Rerun Launch
2026-06-04,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260604_gpu_pruning_and_next_priority,S0,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260604_gpu_pruning_and_next_priority.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1_rerun_20260603/epoch_25.pth,# 2026-06-04 GPU Pruning And Next Priority
2026-06-04,DOTA2,DOTA2_1024_500/ss_val,experiment note,GPU pruning and detector evidence,S0 detector,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260604_gpu_pruning_and_next_priority.md,,Detector follow-up was blocked/paused by GPU availability and active processes.
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260605_geonexus_s1_retry2,S1,,completed,positive,,,,,,,,docs/experiments/20260605_geonexus_s1_retry2.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1_rerun_20260603,# GeoNexus S1 Retry 2 Metrics - 2026-06-05
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S1 RemoteCLIP prompt-head rerun retry 2,S1,,diagnostic,not_paper_evidence,32,0.3800,0.3800,36,0.3793,0.3790,,docs/experiments/20260605_geonexus_s1_retry2_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1_rerun_20260603,Best rounded log line is epoch 32 at dota/mAP=0.3800 and dota/AP50=0.3800. Use epoch_32.pth as the S2 initialization checkpoint.
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260605_geonexus_s2_rerun_s1e32,S2,,completed,positive,,,,,,,,docs/experiments/20260605_geonexus_s2_rerun_s1e32.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s1_rerun_20260603/epoch_32.pth,# GeoNexus S2 Rerun From S1 Epoch 32 - 2026-06-05
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S2 hierarchy regularizer rerun from S1 epoch 32,S2,,diagnostic,not_paper_evidence,4,0.3858,0.3860,12,0.3784,0.3780,,docs/experiments/20260605_geonexus_s2_rerun_s1e32_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_rerun_s1e32_20260604,Best rounded log line is epoch 4 at dota/mAP=0.3858 and dota/AP50=0.3860. Use epoch_4.pth as the S3 initialization checkpoint.
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260605_geonexus_s3_identity_rerun_s2e4,S3,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260605_geonexus_s3_identity_rerun_s2e4.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_rerun_s1e32_20260604/epoch_4.pth,# GeoNexus S3 Identity Rerun From S2 Epoch 4 - 2026-06-05
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260605_geonexus_s3_rerun_s2e4,S3,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260605_geonexus_s3_rerun_s2e4.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_rerun_s1e32_20260604/epoch_4.pth,# GeoNexus S3 Rerun From S2 Epoch 4 - 2026-06-05
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S3 identity scene adapter rerun from S2 epoch 4,S3,,diagnostic,not_paper_evidence,9,0.3806,0.3810,12,0.3792,0.3790,,docs/experiments/20260605_geonexus_s3_identity_rerun_s2e4_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_scene_adapter_identity_rerun_s2e4_20260605,Identity-initialized reduced-scale scene adapter did not recover the S2 best or the prior S3 rerun best. Run one adapter-off S3 diagnostic from S2 epoch 4 before deciding whether to stop S3.
2026-06-05,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S3 scene adapter rerun from S2 epoch 4,S3,,launch_only,active_then_stopped,2,0.3827,0.3830,12,0.3756,0.3760,,docs/experiments/20260605_geonexus_s3_rerun_s2e4_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_scene_adapter_rerun_s2e4_20260605,"Hierarchy is currently positive, but the scene adapter is not stable enough to support the paper claim. Run a controlled S3 repair before any S4 launch."
2026-06-05,DOTA2,DOTA2_1024_500/ss_val,experiment note,20260605_dota2_baseline_status,S1,,completed,positive,,,,,,,,docs/experiments/20260605_dota2_baseline_status.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_r3det_kfiou_validpng_bs1_20260603/epoch_12.pth,# DOTA2 Baseline Status - 2026-06-05
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,Oriented R-CNN,S0 detector,Oriented R-CNN,completed,positive,12,0.5973,0.5970,12,0.5973,0.5970,,docs/experiments/20260605_dota2_baseline_status.md,,completed epoch 12
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,R3Det-KFIoU,S0 detector,R3Det-KFIoU,completed,positive,12,0.5633,0.5630,12,0.5633,0.5630,,docs/experiments/20260607_current_status_and_next_launch.md,,completed epoch 12
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,RTMDet-L,S0 detector,RTMDet-L,completed,positive,12,0.2779,0.2780,12,0.2779,0.2780,,docs/experiments/20260607_current_status_and_next_launch.md,,completed epoch 12
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,RTMDet-M,S0 detector,RTMDet-M,completed,positive,12,0.3312,0.3310,12,0.3312,0.3310,,docs/experiments/20260605_dota2_baseline_status.md,,completed epoch 12
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,RoI Transformer,S0 detector,RoI Transformer,completed,positive,12,0.6088,0.6090,12,0.6088,0.6090,,docs/experiments/20260603_s0_dota2_roi_trans_validpng_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/s0_dota2_1024_500_roi_trans_rebuild_20260602_validpng_restart,closed-set S0
2026-06-05,DOTA2 formal,DOTA2_1024_500/ss_val,valid-PNG formal,S2ANet,S0 detector,S2ANet,completed,positive,12,0.5869,0.5870,12,0.5869,0.5870,,docs/experiments/20260605_dota2_baseline_status.md,,completed epoch 12
2026-06-06,DIOR-R,DIOR_R_dota/test,experiment note,20260606_dior_r_orcnn_baseline_launch,S0,,failed,oom,,,,,,,,docs/experiments/20260606_dior_r_orcnn_baseline_launch.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dior_r_orcnn_r50_20260606/G02_Baselines_Data2_DIOR_R_M5_ORCNN_R50.py,# DIOR-R Oriented R-CNN Baseline Launch
2026-06-06,DIOR-R,DIOR_R_dota/test,experiment note,20260606_dota2_cross_dataset_pivot,S2,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260606_dota2_cross_dataset_pivot.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_refine_s2e4_lr5e5_20260606,# DOTA2 Cross-Dataset Pivot
2026-06-06,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260606_geonexus_s2_refine_s2e4_lr1e4,S2,,completed,positive,,,,,,,,docs/experiments/20260606_geonexus_s2_refine_s2e4_lr1e4.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_rerun_s1e32_20260604/epoch_4.pth,# GeoNexus S2 Refinement From S2 Epoch 4 LR 1e-4 - 2026-06-06
2026-06-06,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S2 hierarchy refinement from S2 epoch 4 with LR 1e-4,S2,,diagnostic,not_paper_evidence,1,0.3804,0.3800,12,0.3765,0.3760,,docs/experiments/20260606_geonexus_s2_refine_s2e4_lr1e4_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_refine_s2e4_lr1e4_20260606,LR 1e-4 refinement did not improve the S2 rerun best; continue with a lower-LR S2 refinement from the same checkpoint.
2026-06-06,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260606_geonexus_s3_adapter_off_rerun_s2e4,S3,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260606_geonexus_s3_adapter_off_rerun_s2e4.md,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s2_hierarchy_reg_rerun_s1e32_20260604/epoch_4.pth,# GeoNexus S3 Adapter-Off Rerun From S2 Epoch 4 - 2026-06-06
2026-06-06,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,GeoNexus S3 adapter-off rerun from S2 epoch 4,S3,,blocked,active_then_stopped,3,0.3772,0.3770,12,0.3758,0.3760,,docs/experiments/20260606_geonexus_s3_adapter_off_rerun_s2e4_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/geonexus_dota15/roi_trans_remoteclip_s3_adapter_off_rerun_s2e4_20260605,Stop S3 diagnostics and do not launch S4 from S3 because adapter-off best mAP stayed below 0.3827.
2026-06-07,DIOR-R,DIOR_R_dota/test,experiment note,20260607_dior_orcnn_nan_diag_and_roi_trans_launch,S0,,failed,oom,,,,,,,,docs/experiments/20260607_dior_orcnn_nan_diag_and_roi_trans_launch.md,/data5/2025/ldh/OpenRSD/work_dirs/s0_dior_r_orcnn_r50_nan_diag_lr2p5e4_2e_20260607,# DIOR-R ORCNN NaN Diagnostic And RoI Transformer Launch - 2026-06-07
